Date, Transaction, Deposit, Balance
11/30/2008, Deposit, $0.00, $0.00
11/30/2008, Interest, $0.00, $0.00
12/31/2008, Interest, $0.00, $0.00
01/31/2009, Interest, $0.00, $0.00
02/28/2009, Interest, $0.00, $0.00
03/31/2009, Interest, $0.00, $0.00
04/30/2009, Interest, $0.00, $0.00
05/31/2009, Interest, $0.00, $0.00
06/30/2009, Interest, $0.00, $0.00
07/31/2009, Interest, $0.00, $0.00
08/31/2009, Interest, $0.00, $0.00
09/30/2009, Interest, $0.00, $0.00
10/31/2009, Interest, $0.00, $0.00
11/30/2009, Interest, $0.00, $0.00
12/31/2009, Interest, $0.00, $0.00
01/31/2010, Interest, $0.00, $0.00
02/28/2010, Interest, $0.00, $0.00
03/31/2010, Interest, $0.00, $0.00
04/30/2010, Interest, $0.00, $0.00
05/31/2010, Interest, $0.00, $0.00
06/30/2010, Interest, $0.00, $0.00
07/31/2010, Interest, $0.00, $0.00
08/31/2010, Interest, $0.00, $0.00
09/30/2010, Interest, $0.00, $0.00
10/31/2010, Interest, $0.00, $0.00
11/30/2010, Deposit, $50.00, $50.00
11/30/2010, Interest, $0.00, $50.00
12/31/2010, Interest, $0.09, $50.09
01/31/2011, Interest, $0.09, $50.17
02/28/2011, Interest, $0.08, $50.25
03/31/2011, Interest, $0.09, $50.34
04/30/2011, Interest, $0.08, $50.42
05/31/2011, Interest, $0.09, $50.51
06/30/2011, Interest, $0.08, $50.59
07/31/2011, Interest, $0.09, $50.68
08/31/2011, Interest, $0.09, $50.76
09/30/2011, Interest, $0.08, $50.85
10/31/2011, Interest, $0.09, $50.93
11/30/2011, Deposit, $20.00, $70.93
11/30/2011, Interest, $0.08, $71.02
12/31/2011, Interest, $0.12, $71.14
01/31/2012, Interest, $0.12, $71.26
02/29/2012, Interest, $0.11, $71.38
03/31/2012, Interest, $0.12, $71.50
04/30/2012, Interest, $0.12, $71.62
05/31/2012, Interest, $0.12, $71.74
06/30/2012, Interest, $0.12, $71.86
07/31/2012, Interest, $0.12, $71.98
08/31/2012, Interest, $0.12, $72.11
09/30/2012, Interest, $0.12, $72.22
10/31/2012, Interest, $0.12, $72.35
11/30/2012, Deposit, $25.00, $97.35
11/30/2012, Interest, $0.12, $97.47
12/31/2012, Interest, $0.17, $97.64
01/01/2013, Deposit, $68.00, $165.64
01/31/2013, Interest, $0.28, $165.92
02/28/2013, Interest, $0.26, $166.17
03/31/2013, Interest, $0.28, $166.46
04/30/2013, Interest, $0.28, $166.73
05/31/2013, Interest, $0.29, $167.02
06/30/2013, Interest, $0.28, $167.30
07/31/2013, Interest, $0.29, $167.58
08/31/2013, Interest, $0.29, $167.87
09/30/2013, Interest, $0.28, $168.15
10/31/2013, Interest, $0.29, $168.44
11/30/2013, Interest, $0.28, $168.72
12/31/2013, Interest, $0.29, $169.00
01/31/2014, Interest, $0.29, $169.29
02/28/2014, Interest, $0.26, $169.56
03/04/2014, Deposit, $125.00, $294.56
03/31/2014, Interest, $0.48, $295.03
04/30/2014, Interest, $0.49, $295.52
05/31/2014, Interest, $0.51, $296.03
06/30/2014, Interest, $0.49, $296.52
07/31/2014, Interest, $0.51, $297.03
08/31/2014, Interest, $0.51, $297.54
09/30/2014, Interest, $0.49, $298.03
10/31/2014, Interest, $0.51, $298.54
11/30/2014, Interest, $0.50, $299.04
12/31/2014, Interest, $0.51, $299.55
01/31/2015, Interest, $0.51, $300.06
02/28/2015, Interest, $0.46, $300.53
03/31/2015, Interest, $0.51, $301.04
04/30/2015, Interest, $0.50, $301.54
05/31/2015, Interest, $0.52, $302.06
06/30/2015, Interest, $0.50, $302.56
07/31/2015, Interest, $0.52, $303.08
08/31/2015, Interest, $0.52, $303.60
09/30/2015, Interest, $0.50, $304.10
10/31/2015, Interest, $0.52, $304.62
11/30/2015, Interest, $0.51, $305.13
12/31/2015, Interest, $0.52, $305.65
01/31/2016, Interest, $0.52, $306.17
02/29/2016, Interest, $0.49, $306.66
03/31/2016, Interest, $0.53, $307.19
04/30/2016, Interest, $0.51, $307.70
05/31/2016, Interest, $0.53, $308.23
06/30/2016, Interest, $0.51, $308.74
07/31/2016, Interest, $0.53, $309.27
08/31/2016, Interest, $0.53, $309.80
09/30/2016, Interest, $0.51, $310.31
10/31/2016, Interest, $0.53, $310.84
11/30/2016, Interest, $0.52, $311.36
12/31/2016, Interest, $0.53, $311.89
01/18/2017, Deposit, $25.00, $336.89
01/31/2017, Interest, $0.55, $337.44
02/28/2017, Interest, $0.52, $337.96
03/31/2017, Interest, $0.58, $338.54
04/30/2017, Interest, $0.56, $339.11
05/31/2017, Interest, $0.58, $339.69
06/30/2017, Interest, $0.56, $340.25
07/31/2017, Interest, $0.58, $340.83
08/31/2017, Interest, $0.58, $341.42
09/30/2017, Interest, $0.57, $341.98
10/31/2017, Interest, $0.59, $342.57
11/30/2017, Interest, $0.57, $343.14
12/28/2017, Deposit, $30.00, $373.14
12/31/2017, Interest, $0.59, $373.73
01/31/2018, Interest, $0.64, $374.37
02/28/2018, Interest, $0.58, $374.95
03/31/2018, Interest, $0.64, $375.59
04/30/2018, Interest, $0.62, $376.22
05/31/2018, Interest, $0.64, $376.86
06/30/2018, Interest, $0.62, $377.49
07/31/2018, Interest, $0.65, $378.13
08/31/2018, Interest, $0.65, $378.78
09/30/2018, Interest, $0.63, $379.41
10/31/2018, Interest, $0.65, $380.06
11/30/2018, Interest, $0.63, $380.69
12/31/2018, Interest, $0.65, $381.34
01/31/2019, Interest, $0.65, $381.99
02/28/2019, Interest, $0.59, $382.59
