Date, Transaction, Deposit, Balance
07/21/2011, Deposit, $0.00, $0.00
07/31/2011, Interest, $0.00, $0.00
08/31/2011, Interest, $0.00, $0.00
09/30/2011, Interest, $0.00, $0.00
10/31/2011, Interest, $0.00, $0.00
11/30/2011, Interest, $0.00, $0.00
12/31/2011, Interest, $0.00, $0.00
01/31/2012, Interest, $0.00, $0.00
02/29/2012, Interest, $0.00, $0.00
03/31/2012, Interest, $0.00, $0.00
04/30/2012, Interest, $0.00, $0.00
05/31/2012, Interest, $0.00, $0.00
06/30/2012, Interest, $0.00, $0.00
07/21/2012, Deposit, $50.00, $50.00
07/31/2012, Interest, $0.03, $50.03
08/31/2012, Interest, $0.09, $50.11
09/30/2012, Interest, $0.08, $50.20
10/31/2012, Interest, $0.09, $50.28
11/30/2012, Interest, $0.08, $50.37
12/31/2012, Interest, $0.09, $50.45
01/04/2013, Deposit, $21.00, $71.45
01/31/2013, Interest, $0.12, $71.57
02/28/2013, Interest, $0.11, $71.68
03/31/2013, Interest, $0.12, $71.80
04/30/2013, Interest, $0.12, $71.92
05/31/2013, Interest, $0.12, $72.05
06/30/2013, Interest, $0.12, $72.17
07/31/2013, Interest, $0.12, $72.29
08/31/2013, Interest, $0.12, $72.41
09/30/2013, Interest, $0.12, $72.53
10/31/2013, Interest, $0.12, $72.66
11/30/2013, Interest, $0.12, $72.78
12/31/2013, Interest, $0.12, $72.90
01/31/2014, Interest, $0.12, $73.03
02/28/2014, Interest, $0.11, $73.14
03/04/2014, Deposit, $125.00, $198.14
03/31/2014, Interest, $0.31, $198.45
04/30/2014, Interest, $0.33, $198.78
05/31/2014, Interest, $0.34, $199.12
06/30/2014, Interest, $0.33, $199.45
07/31/2014, Interest, $0.34, $199.79
08/31/2014, Interest, $0.34, $200.14
09/30/2014, Interest, $0.33, $200.47
10/31/2014, Interest, $0.34, $200.81
11/30/2014, Interest, $0.33, $201.14
12/31/2014, Interest, $0.34, $201.49
01/31/2015, Interest, $0.35, $201.83
02/28/2015, Interest, $0.31, $202.15
03/31/2015, Interest, $0.35, $202.49
04/30/2015, Interest, $0.34, $202.83
05/31/2015, Interest, $0.35, $203.18
06/30/2015, Interest, $0.34, $203.51
07/31/2015, Interest, $0.35, $203.86
08/31/2015, Interest, $0.35, $204.21
09/25/2015, Deposit, $25.00, $229.21
09/30/2015, Interest, $0.35, $229.56
10/31/2015, Interest, $0.39, $229.95
11/30/2015, Interest, $0.38, $230.33
12/31/2015, Interest, $0.39, $230.73
01/31/2016, Interest, $0.40, $231.12
02/29/2016, Interest, $0.37, $231.49
03/31/2016, Interest, $0.40, $231.89
04/30/2016, Interest, $0.38, $232.27
05/31/2016, Interest, $0.40, $232.67
06/30/2016, Interest, $0.39, $233.06
07/31/2016, Interest, $0.40, $233.46
08/16/2016, Deposit, $25.00, $258.46
08/31/2016, Interest, $0.42, $258.88
09/30/2016, Interest, $0.43, $259.31
10/31/2016, Interest, $0.44, $259.75
11/30/2016, Interest, $0.43, $260.18
12/31/2016, Interest, $0.45, $260.63
01/31/2017, Interest, $0.45, $261.08
02/28/2017, Interest, $0.40, $261.48
03/31/2017, Interest, $0.45, $261.93
04/30/2017, Interest, $0.43, $262.36
05/31/2017, Interest, $0.45, $262.81
06/30/2017, Interest, $0.44, $263.25
07/31/2017, Interest, $0.45, $263.70
08/07/2017, Deposit, $25.00, $288.70
08/31/2017, Interest, $0.49, $289.18
09/30/2017, Interest, $0.48, $289.66
10/31/2017, Interest, $0.50, $290.16
11/30/2017, Interest, $0.48, $290.64
12/31/2017, Interest, $0.50, $291.14
01/31/2018, Interest, $0.50, $291.64
02/28/2018, Interest, $0.45, $292.09
03/31/2018, Interest, $0.50, $292.59
04/30/2018, Interest, $0.49, $293.07
05/31/2018, Interest, $0.50, $293.58
06/30/2018, Interest, $0.49, $294.06
07/31/2018, Interest, $0.50, $294.57
08/31/2018, Interest, $0.50, $295.07
09/30/2018, Interest, $0.49, $295.56
10/31/2018, Interest, $0.51, $296.07
11/30/2018, Interest, $0.49, $296.56
12/31/2018, Interest, $0.51, $297.07
01/31/2019, Interest, $0.51, $297.58
02/28/2019, Interest, $0.46, $298.04
